station,hour_in_day,mean,st_dev,no_of_entries
WHA,7,85.02451705932617,25.841646826858014,32
WHA,17,86.32518310546875,34.55099939696653,30
WHA,18,91.19148366044207,32.09416442931829,41
WHA,11,82.09694730318509,20.212597245723654,26
WHA,6,101.16528597745028,41.56323102358596,44
WHA,9,111.39146664268092,53.36498103626739,19
WHA,14,91.84877319335938,21.752731134650357,20
WHA,15,96.41502210828993,33.15374729368486,36
WHA,12,96.27586263020834,46.190427401340195,15
WHA,13,86.0009599165483,23.78794280961478,22
WHA,20,86.35544349407327,31.57861704893452,29
WHA,22,93.97633056640625,23.79166273134396,20
WHA,10,93.59357561383929,32.42655526852623,28
WHA,19,105.31175595238095,55.283218376251384,21
WHA,16,103.1771943063447,40.432916103834955,33
WHA,8,87.80335027521306,22.712070635937284,22
WHA,23,130.89535086495536,100.84651117030495,7
WHA,21,101.87891006469727,55.769284375251814,32
WHA,0,72.59293619791667,5.842954164373936,3
HOM,17,93.68949100889009,33.10443718260942,58
HOM,18,92.08748263404483,26.429933253514605,63
HOM,11,77.67656418372844,19.831122858545736,29
HOM,12,94.3207275390625,37.318256479381894,15
HOM,20,88.93513793945313,31.609963925581763,20
HOM,7,85.02528076171875,33.48895739904086,40
HOM,21,97.34041341145833,49.74302144796433,33
HOM,9,102.34557212271342,48.95343091355413,41
HOM,16,108.44758224487305,38.60094745164553,32
HOM,19,100.56731214021382,46.49001271193551,38
HOM,22,98.44737243652344,18.680044005458637,16
HOM,10,105.83922713842148,58.83797036706233,39
HOM,13,81.95884107506794,21.87163846110405,23
HOM,15,103.63627485795455,34.13431831549155,33
HOM,8,89.68448580228366,28.83575354616095,26
HOM,14,92.29359195106908,22.38886766608665,19
HOM,23,148.9224365234375,121.46297609834697,5
HOM,6,132.72617409446022,71.93349766059616,22
HOM,0,66.1942138671875,6.0003662109375,2
YMT,17,86.49770827520462,28.452094031743528,63
YMT,18,86.5224319740578,23.020767368868135,54
YMT,7,89.38448264382102,27.331595848376786,44
YMT,12,84.16594360351563,24.00233148891869,25
YMT,21,95.7224063873291,47.47117021861592,40
YMT,6,116.63093171296296,58.8503974692729,27
YMT,8,82.05884621360086,17.504572896333247,33
YMT,20,86.2578879462348,23.731857399844046,54
YMT,11,89.98346688406808,29.701004600335708,35
YMT,9,101.2051061585892,41.00189343667316,43
YMT,16,92.30571727263622,31.71827718269375,39
YMT,14,75.64475852564762,13.99016967821696,19
YMT,22,108.78750467300415,55.58304484471674,32
YMT,10,95.60867559714396,32.72456243044085,61
YMT,13,88.47964555789262,29.418933102537512,39
YMT,15,85.00231542342749,22.335060900724088,39
YMT,19,102.68891632556915,44.43449151379787,64
YMT,23,141.342431640625,119.05005222469711,5
MOK,17,94.86480632581208,38.45300328545062,38
MOK,12,99.4234139578683,35.40461497245328,21
MOK,20,85.17233163339121,22.630544404055126,54
MOK,11,82.08230209350586,25.151994191161876,40
MOK,7,79.2053636249743,20.10639191200476,38
MOK,6,115.86247840294472,56.29211861962071,26
MOK,9,105.09085170200893,43.30068115182952,35
MOK,16,93.78184986114502,33.540541881864385,32
MOK,19,99.87099586342866,42.115766832051676,53
MOK,18,85.16566149393718,20.462598321459325,48
MOK,8,77.10068230879934,11.434572732658804,19
MOK,10,91.5765151977539,33.69500070713362,52
MOK,15,95.75650617811415,22.550426663968665,36
MOK,13,110.27595710754395,39.770380886761785,32
MOK,14,83.74887817382813,23.254470365240294,25
MOK,23,109.31793212890625,62.804592135254126,6
MOK,22,105.9023223876953,49.18471770977175,30
MOK,21,91.66521747295673,45.797153098806,26
PRE,17,89.815673828125,30.544446288907313,26
PRE,18,80.50962931315104,14.393818249659038,30
PRE,19,101.05701538085937,45.48856685934453,50
PRE,20,82.2544267762382,21.55818157078908,53
PRE,13,104.15049181486431,41.62996860729514,38
PRE,11,91.13394793342141,30.323556022560233,34
PRE,7,79.55962302468039,25.715097736502017,33
PRE,21,96.27056884765625,48.499386685219726,13
PRE,10,93.38780275980632,38.85322487641447,48
PRE,16,103.58523995535714,58.23257915702741,21
PRE,9,99.56552269345238,46.13889212749524,42
PRE,12,107.97410430908204,48.32484447718014,20
PRE,15,81.91672685411241,15.406651406938954,36
PRE,14,78.41570091247559,18.52509782921127,16
PRE,8,70.51520284016927,8.647663048194882,18
PRE,6,115.4855267068614,54.23124047885027,23
PRE,23,110.75335693359375,69.95635485358058,4
PRE,22,90.72735005040323,40.80114831611278,31
PRE,0,65.877685546875,0.0,1
SKM,16,103.41025216238839,47.00322434624528,21
SKM,17,87.7246251989294,30.126043072026462,27
SKM,18,88.75721888388357,29.842911666000592,31
SKM,19,101.35232226053874,51.050259600217494,48
SKM,20,87.28263854980469,21.93998272708299,32
SKM,13,108.41480870400706,39.97975167654963,31
SKM,11,85.55372488839286,25.92039049869146,35
SKM,9,97.08265644795186,45.93600493055681,37
SKM,12,107.00275555778953,47.28104835979329,17
SKM,7,79.00884755452473,24.20394087279016,36
SKM,10,95.30061005383003,40.53255975017602,41
SKM,15,83.33301639556885,17.510792093966874,32
SKM,14,85.71202674278847,23.84035042566349,13
SKM,8,72.07732615751378,10.260993755596106,17
SKM,23,155.9415283203125,89.787353515625,2
SKM,22,94.19122079702524,38.71548678414439,26
SKM,6,123.40929620916194,54.388484751255476,22
SKM,21,88.96321507504112,46.075379521386054,19
KOT,16,94.57286693431713,36.10748258577583,27
KOT,17,80.51905822753906,27.203116176698067,24
KOT,18,81.12444436961206,29.82925674602644,29
KOT,19,99.430419921875,49.05865702142743,50
KOT,20,86.24221719277871,22.906367756034903,37
KOT,13,110.20041232638889,42.986620997614956,27
KOT,11,87.6110347624748,28.29374337609844,31
KOT,10,92.74293269667514,40.453439436531234,43
KOT,6,122.62653169177827,58.35372413307824,21
KOT,12,101.33142768012152,42.76988024730836,18
KOT,22,96.48560878208706,40.982243031845165,28
KOT,7,81.79005673057155,25.029934974821842,38
KOT,9,95.33020340768914,42.13196408570217,38
KOT,8,73.7886250813802,9.826807805781124,12
KOT,15,81.15753655684621,16.930240622921197,38
KOT,14,79.11094970703125,22.064986277595157,15
KOT,23,67.325927734375,0.0,1
KOT,21,95.31385713465073,47.39855417698168,17
LOF,16,90.50406812584919,27.815596144580287,23
LOF,17,83.75332774286684,26.027039300538966,23
LOF,18,82.98870849609375,25.119490858644657,32
LOF,20,85.30886404854911,18.947163405837962,28
LOF,13,115.12857581829202,43.457969186254026,29
LOF,11,96.93847933682528,32.89581784959781,22
LOF,8,85.79529073963995,28.768092011083912,23
LOF,22,96.31413269042969,38.288578722982955,28
LOF,12,107.19869384765624,39.59540370116618,15
LOF,7,91.69033578725961,29.621483300498994,26
LOF,10,90.2569565545945,34.37363871060988,42
LOF,9,87.61436225043403,39.59826236100669,45
LOF,15,79.63478393554688,12.703677924895732,30
LOF,19,101.46309308307927,46.75329414554436,41
LOF,14,77.88170878092448,21.382324644659025,12
LOF,6,120.1396826171875,54.747058908886125,25
LOF,23,62.9393310546875,0.0,1
LOF,21,90.9115966796875,43.17784759550354,15
WTS,16,81.80622863769531,27.28189346136532,28
WTS,17,86.04037873641305,24.471414795241536,23
WTS,18,80.59884643554688,21.435213750571283,38
WTS,13,113.22067025991586,39.13672788624176,26
WTS,12,107.19509451729911,39.92645739984959,14
WTS,20,87.19476553109976,22.166723584511406,26
WTS,11,100.32340309836648,30.58695983690387,22
WTS,8,93.76333984375,39.79752963284441,25
WTS,6,112.05011422293526,48.71182672044245,28
WTS,22,100.6073046875,39.86898823332529,25
WTS,10,92.2013101016774,37.92825059987903,34
WTS,9,92.89192818306587,40.02691243004641,37
WTS,15,75.97374933416194,12.771429322127952,33
WTS,19,94.85433747047601,43.95783980134582,43
WTS,14,80.96634743430398,23.250084187494007,11
WTS,23,81.712646484375,0.0,1
WTS,21,102.56381225585938,50.79785182567851,16
WTS,7,96.19100717397836,35.421398637212945,26
DIH,16,82.04522150213069,26.606046228987648,22
DIH,17,90.20530941611842,24.792997320170453,19
DIH,11,103.26055586965461,30.803405156858663,19
DIH,13,112.90430626502403,41.11604366147888,26
DIH,12,104.0394756610577,39.76113221654774,13
DIH,20,83.96834857647235,18.36757615455662,26
DIH,8,95.70065307617188,43.09021400582726,24
DIH,22,97.07837366174769,36.074583688883315,27
DIH,10,92.73917236328126,40.86544779754933,30
DIH,9,87.64407348632812,35.55784697306125,42
DIH,18,80.18797454833984,19.1218442816306,40
DIH,19,92.16261846368963,40.36511558776454,44
DIH,14,86.443798828125,24.599706449174022,10
DIH,7,103.9068258534307,36.53152679586689,23
DIH,23,89.979736328125,0.0,1
DIH,6,114.4349365234375,49.50512799624356,29
DIH,15,78.15444091796876,11.76741862566958,25
DIH,21,88.65089925130208,48.899167433001885,15
CHH,16,86.28126927425987,28.772566972991957,19
CHH,17,88.91611199629934,21.345731788883185,19
CHH,11,95.49179740574048,28.404002004311273,23
CHH,13,113.94628470284599,43.707341438937526,28
CHH,12,101.61963360126202,38.92128978571235,13
CHH,20,82.985107421875,18.522968460971146,28
CHH,22,106.92654636928013,40.66888469473284,28
CHH,10,96.30660807291666,42.959019759422176,30
CHH,9,89.07872286709872,32.78626878630629,44
CHH,15,79.18813350282866,14.407360824417315,29
CHH,18,81.94578516760538,22.371501209724286,43
CHH,19,88.45018693512561,36.57656051423377,51
CHH,7,98.03548855251736,32.04481539102443,27
CHH,14,79.47691650390625,24.013862244840016,15
CHH,8,106.23672340029762,46.19336303290913,21
CHH,23,60.86151123046875,0.0,1
CHH,21,74.72670335036058,17.60212378983438,13
CHH,6,103.51972223097279,47.552410814593266,31
KOB,6,100.80753871372768,40.08872771473534,28
KOB,16,81.97535822941707,19.64173248221413,26
KOB,17,77.90678967927632,18.18006895387477,19
KOB,11,96.36896584250711,27.427176984782847,22
KOB,13,117.46196182914402,40.70561738548842,23
KOB,12,87.00369262695312,30.340594531079827,14
KOB,20,83.90663582938058,20.422467361711714,28
KOB,21,90.29504013061523,40.34290456343934,16
KOB,18,83.81379801432291,19.76600672673408,45
KOB,15,80.15884881270559,12.750078765561932,19
KOB,10,100.87914748418899,39.43398674742048,21
KOB,9,85.19932163783483,17.0419020135151,35
KOB,8,96.18001849834735,42.72054582597801,26
KOB,19,86.30781585094975,33.34889346481764,51
KOB,7,92.23692717375579,25.90630016872017,27
KOB,14,82.98635629507211,14.396564051537508,13
KOB,23,98.12884521484376,0.0,1
KOB,22,104.0565409342448,44.946759059739634,30
NTK,16,86.48935388635707,19.264317323536094,27
NTK,11,99.28001204780911,28.9890078126785,23
NTK,13,117.52303024818157,46.115532726610084,29
NTK,12,94.25604248046875,32.057851070837245,15
NTK,8,99.43080647786458,47.1263875146561,30
NTK,20,85.2992412022182,17.07305249338738,28
NTK,21,87.35537484975961,36.06640774796652,13
NTK,6,104.50773151104266,43.66257673452029,26
NTK,15,79.13638671875,13.607194835751187,25
NTK,17,79.48034057617187,18.363254673771973,30
NTK,10,92.94044078480114,35.19647691087592,33
NTK,9,88.12470476017442,18.264676443657073,43
NTK,7,99.77040536063058,30.863261826645864,28
NTK,18,87.14672197614398,23.198046126983506,56
NTK,19,88.8728893824986,31.365225729689428,56
NTK,14,83.09350406422334,17.185979919432523,17
NTK,23,73.05130004882812,0.0,1
NTK,22,108.64720087466033,47.238393168742405,23
KWT,16,89.91118593569155,20.27070000901784,27
KWT,18,87.89274055727067,22.391888406623245,62
KWT,11,95.81670081097147,28.185269096559114,23
KWT,20,82.44692134857178,18.982000130406803,32
KWT,13,112.21851130894252,43.949553078445625,28
KWT,12,94.37703132629395,32.061463172537884,16
KWT,8,91.52465265447444,37.703309347767096,44
KWT,21,98.52890421549479,45.29761284773115,15
KWT,17,79.25066266741071,20.817945595813267,21
KWT,6,101.77964624865302,40.033757767263246,29
KWT,14,82.84915008544922,19.39348852209185,20
KWT,19,87.66849043562605,25.40586475482512,74
KWT,10,91.32017517089844,29.980938676250123,30
KWT,9,88.16627066476005,20.857192553404982,56
KWT,7,97.38272953033447,37.958246568932736,32
KWT,15,81.44940476190476,12.75319643944041,21
KWT,22,98.7905029296875,37.63034950213457,20
LAT,11,91.72725608132102,28.341240810386616,22
LAT,16,91.16411884014423,24.39176833697851,26
LAT,18,88.29670302932327,23.987656203983686,74
LAT,13,117.6542489188058,46.17647057006383,28
LAT,12,106.01904296875,39.504462582493915,17
LAT,8,93.9207763671875,36.202387087423304,45
LAT,20,83.93297729492187,17.579093632894235,30
LAT,21,94.3759525844029,38.71871259665879,14
LAT,17,79.49188523065476,19.578184090881273,21
LAT,6,104.9033837890625,41.30645865192895,25
LAT,14,81.49193115234375,13.842377922847707,20
LAT,15,85.55881569602273,16.967022660231425,22
LAT,22,92.3130215731534,33.206461201299156,22
LAT,19,90.43709254909206,27.71493114425739,74
LAT,10,94.5762872314453,28.96477964274864,25
LAT,9,86.53050130208334,20.46523686464781,45
LAT,7,100.15406946982107,40.965998213484625,31
YAT,11,88.13889917834052,29.752458897446655,29
YAT,16,93.56940078735352,34.548400168615025,32
YAT,17,80.67313639322917,17.90611058566101,27
YAT,18,97.58496629869616,33.0377879635057,74
YAT,21,87.4311882467831,37.136045410889594,17
YAT,13,114.42425827752976,38.52580901317326,21
YAT,12,107.96390991210937,50.5916556497895,20
YAT,20,79.92441693474265,16.581255584979797,34
YAT,15,76.85088239397321,13.683181138637499,21
YAT,10,93.14931940149378,31.22920513366216,27
YAT,6,107.79834923377403,44.193977876255666,26
YAT,8,97.14442693536932,27.43912652325369,55
YAT,14,85.16263834635417,18.097934036696163,27
YAT,22,95.53472900390625,21.00614227967693,18
YAT,19,98.54923460218642,28.36480326566997,90
YAT,9,88.70300701686314,22.2424327044615,56
YAT,7,98.55405831336975,39.981431864101445,32
YAT,23,71.69365234375,6.134591758132104,5
TIK,11,90.120654296875,31.958366001587844,25
TIK,16,89.99126052856445,30.218597666152483,32
TIK,18,93.32653483072917,31.567058092091788,75
TIK,21,95.872314453125,41.09285888980889,18
TIK,13,111.04867757161459,45.88615469210595,30
TIK,12,108.67223539806548,60.33087814379445,21
TIK,20,88.26787698679956,43.53441178079954,29
TIK,10,98.71822456691577,37.93592899754217,23
TIK,8,99.10770818536932,35.65671546332404,55
TIK,9,85.66459589419158,17.782435789733555,46
TIK,6,114.88048008510044,55.35324580223229,28
TIK,14,84.73410825376158,18.376696107842275,27
TIK,15,81.06210835774739,19.17851884062794,24
TIK,19,95.18221394399579,30.033150074803917,89
TIK,17,91.36247634887695,28.863576706330008,32
TIK,22,88.982666015625,26.902723430962805,21
TIK,7,109.793974609375,49.080017697732636,25
TIK,23,73.12677001953125,7.17901611328125,2
