station,day_in_week,hour_in_day,mean,st_dev,no_of_entries
WHA,6,7,75.07059733072917,15.633855489841407,3
WHA,6,17,113.9862060546875,0.0,1
WHA,6,18,89.3623046875,35.00341160348853,4
WHA,6,11,99.40447998046875,31.09490966796875,2
WHA,6,6,70.99542236328125,10.08892822265625,2
WHA,6,9,63.5020751953125,0.0,1
WHA,6,14,85.628173828125,6.186441070803184,3
WHA,6,15,67.7833251953125,7.0982666015625,2
WHA,6,12,126.60257975260417,58.75841550584248,3
WHA,6,13,64.5330810546875,0.0,1
WHA,6,0,76.4591064453125,2.5235595703125,2
WHA,1,7,88.27244059244792,19.688788055288533,6
WHA,1,20,62.3684814453125,1.6704891425456132,5
WHA,1,22,95.02545166015625,15.780247885924561,8
WHA,1,12,97.41230773925781,44.87755727275937,8
WHA,1,6,106.398193359375,42.72625410383528,7
WHA,1,10,73.96165635850694,9.214579203288782,9
WHA,1,13,84.41867065429688,18.122883095804436,8
WHA,1,15,95.17613002232143,20.401113888633898,7
WHA,1,17,72.46370849609374,9.13017837629483,10
WHA,1,11,79.39825439453125,12.81781005859375,2
WHA,1,19,80.27895100911458,10.154898004632974,6
WHA,1,16,63.3704833984375,2.13134765625,2
WHA,1,9,199.89456176757812,37.79354733503516,4
WHA,1,14,106.31491088867188,25.8205016656394,4
WHA,1,18,70.90207926432292,7.311589248643198,6
WHA,1,8,81.39666748046875,5.61505126953125,2
WHA,1,23,181.08601888020834,136.2278451298696,3
WHA,1,21,93.911865234375,27.898849543015263,9
WHA,1,0,64.860595703125,0.0,1
WHA,2,15,116.57988739013672,36.45051753610013,16
WHA,2,16,139.80284534801137,45.35255029320985,11
WHA,2,18,77.6692626953125,5.549641527270854,5
WHA,2,19,157.55267333984375,93.25286865234375,2
WHA,2,20,108.08883666992188,47.320331215667785,8
WHA,2,6,120.71824645996094,58.97726071604369,8
WHA,2,17,140.074853515625,53.35288228376528,5
WHA,2,21,133.86687360491072,76.53457249893052,7
WHA,2,14,91.80976213727679,24.327900343504144,7
WHA,2,11,65.7276611328125,0.0,1
WHA,2,7,77.73016357421875,15.76837158203125,2
WHA,2,22,89.243408203125,12.591062275242077,4
WHA,2,8,101.9752685546875,32.560813779113985,5
WHA,2,9,79.6165771484375,0.0,1
WHA,2,13,63.2564697265625,0.0,1
WHA,3,6,95.58081926618304,39.13155696745711,14
WHA,3,16,86.23592435396634,12.932804478974822,13
WHA,3,18,88.10401500355114,29.95120077131862,11
WHA,3,19,116.46941583806819,54.408432712988414,11
WHA,3,21,69.8331298828125,8.92870749158349,9
WHA,3,10,105.48035888671875,33.05607239869918,10
WHA,3,11,85.41790771484375,20.89084385588757,14
WHA,3,20,80.27475992838542,14.452730226953312,6
WHA,3,14,79.97689819335938,12.610502577397149,4
WHA,3,13,92.68853759765625,35.19947885103513,6
WHA,3,12,71.2579345703125,8.072640964301982,4
WHA,3,17,75.02119954427083,12.412637399439825,6
WHA,3,22,65.63663736979167,7.046076124780445,3
WHA,3,8,81.36513264973958,16.927433648775985,6
WHA,3,7,68.86335754394531,10.632785861891044,8
WHA,3,9,75.83327229817708,6.457749653693811,6
WHA,3,15,64.3834228515625,2.617164657265345,3
WHA,3,23,70.366455078125,4.5535888671875,2
WHA,4,8,104.27041625976562,4.05285403833329,4
WHA,4,18,100.0166015625,34.77191904329405,7
WHA,4,20,89.46334838867188,16.964134451015987,4
WHA,4,22,97.8037109375,0.0,1
WHA,4,6,107.71348353794643,24.02611305733105,7
WHA,4,11,73.732421875,12.856813688466264,4
WHA,4,21,164.1068115234375,81.44595152460148,3
WHA,4,10,106.08326939174107,40.00178818401336,7
WHA,4,15,88.35906982421875,1.86151123046875,2
WHA,4,13,94.021484375,15.120952131862513,3
WHA,4,14,109.345703125,0.0,1
WHA,4,17,76.02066040039062,10.433278827197281,4
WHA,4,7,108.48503766741071,36.22219987795346,7
WHA,4,16,65.89013671875,2.8270685389971932,3
WHA,4,9,125.664306640625,27.356592908507913,3
WHA,4,23,124.919921875,0.0,1
WHA,5,23,107.3565673828125,0.0,1
WHA,5,8,65.710693359375,5.662340063646201,3
WHA,5,22,115.59676106770833,36.05044393881879,3
WHA,5,11,71.6409912109375,0.0,1
WHA,5,18,72.0604248046875,0.0,1
WHA,5,13,83.56217447916667,8.645112736673024,3
WHA,5,21,79.49251302083333,13.246201178434042,3
WHA,5,16,74.16650390625,0.0,1
WHA,5,20,83.993115234375,16.226776935370847,5
WHA,5,9,77.0130615234375,6.665771484375,2
WHA,5,17,75.3992919921875,14.03076171875,2
WHA,5,6,67.1478271484375,3.85009765625,2
WHA,5,15,80.27886962890625,3.62335205078125,2
WHA,5,7,75.2501220703125,0.0,1
WHA,0,6,93.08172607421875,18.095204189996025,4
WHA,0,21,118.5540771484375,0.0,1
WHA,0,10,78.78936767578125,8.28619384765625,2
WHA,0,15,68.35922241210938,7.255954899614762,4
WHA,0,17,72.874755859375,5.9013671875,2
WHA,0,18,118.04600306919643,35.98122228621633,7
WHA,0,11,74.383056640625,4.7171630859375,2
WHA,0,16,115.7904052734375,25.627803292302143,3
WHA,0,14,82.90966796875,0.0,1
WHA,0,7,84.985107421875,15.61639852529815,5
WHA,0,8,78.29974365234375,4.39715576171875,2
WHA,0,19,66.8021240234375,5.1697998046875,2
WHA,0,9,93.86114501953125,0.67401123046875,2
WHA,0,20,68.2872314453125,0.0,1
WHA,0,22,120.845458984375,0.0,1
HOM,6,17,90.322998046875,29.128244819538935,4
HOM,6,18,85.759521484375,8.714788226827483,4
HOM,6,11,105.0206298828125,41.9788818359375,2
HOM,6,12,104.78536987304688,26.167906787059106,4
HOM,6,20,66.241455078125,0.0,1
HOM,6,7,82.8831787109375,6.094970703125,2
HOM,6,21,62.4718017578125,0.0,1
HOM,6,9,81.259033203125,0.0,1
HOM,6,16,116.1339111328125,0.0,1
HOM,6,19,63.20458984375,0.0,1
HOM,6,0,60.19384765625,0.0,1
HOM,1,7,77.04524739583333,18.113918522025177,9
HOM,1,22,97.0174560546875,16.239724815205836,8
HOM,1,12,107.60546875,47.226054871078794,6
HOM,1,16,84.65713500976562,19.62959061077254,4
HOM,1,9,149.96544189453124,58.60597953559683,10
HOM,1,17,78.6932842548077,11.05688439506835,13
HOM,1,10,103.41019112723214,54.475449281315555,7
HOM,1,13,81.46803283691406,19.423728474019278,8
HOM,1,15,104.30048479352679,21.69194182614398,7
HOM,1,8,66.208984375,3.36949544790747,5
HOM,1,19,84.7384033203125,17.53155850728411,7
HOM,1,14,90.77378627232143,21.851700458515722,7
HOM,1,18,74.6669921875,10.347069080293016,8
HOM,1,20,72.91265869140625,12.42315673828125,2
HOM,1,21,89.80745442708333,26.684801519768353,9
HOM,1,23,237.798828125,148.8267822265625,2
HOM,1,11,87.51167805989583,17.980509430757824,3
HOM,1,6,170.16302490234375,75.39898681640625,2
HOM,1,0,72.194580078125,0.0,1
HOM,2,15,128.0180402483259,32.174258878726086,14
HOM,2,16,135.4200772372159,45.585485380417225,11
HOM,2,18,84.53715896606445,22.099368299698337,6
HOM,2,17,127.0498046875,42.68658920418314,14
HOM,2,19,92.1831298828125,20.855483416952094,5
HOM,2,6,152.37815638950892,76.04196861857497,7
HOM,2,13,69.13330078125,0.0,1
HOM,2,20,117.77639770507812,49.55942079381926,4
HOM,2,21,132.7046630859375,65.86023102348122,5
HOM,2,14,98.96337890625,26.727219756754362,7
HOM,2,7,61.075927734375,0.0,1
HOM,2,22,90.786376953125,13.968985145233887,3
HOM,2,8,139.37057495117188,31.624302780572812,4
HOM,2,9,70.0946044921875,8.4114990234375,2
HOM,2,11,72.5670166015625,0.0,1
HOM,2,10,72.826904296875,0.0,1
HOM,3,12,71.260009765625,8.43966361447452,4
HOM,3,16,89.97293090820312,15.504925961752857,12
HOM,3,17,73.99818004261364,12.548943350777186,11
HOM,3,18,93.0548846905048,23.77648400085237,13
HOM,3,10,121.62900015024039,83.97060881769143,13
HOM,3,6,152.5800048828125,73.12861086499503,5
HOM,3,19,121.42123894942434,55.61486314196313,19
HOM,3,21,76.24933539496527,11.267099176476496,9
HOM,3,11,74.46698552911931,14.500763039647174,11
HOM,3,15,68.6328125,7.634164752868009,3
HOM,3,20,76.13418579101562,4.3556815966742475,4
HOM,3,13,86.60133579799107,28.704644602191344,7
HOM,3,14,85.098388671875,1.5667724609375,2
HOM,3,22,85.587646484375,0.0,1
HOM,3,8,69.781689453125,10.69121698933267,5
HOM,3,9,79.11412702287946,17.020635081545166,14
HOM,3,7,71.81329900568181,15.08695486125724,11
HOM,4,8,97.27001953125,11.103699694024547,8
HOM,4,11,75.50993347167969,16.082377836336807,8
HOM,4,18,97.1382305438702,19.437246574290707,13
HOM,4,20,94.82424926757812,26.494696213925028,4
HOM,4,9,111.69949340820312,52.49232639028628,8
HOM,4,21,173.498291015625,79.20747793711662,3
HOM,4,10,121.17860630580357,33.93512492965656,7
HOM,4,6,115.28219604492188,54.09732820393463,4
HOM,4,15,82.457763671875,20.734098148246407,3
HOM,4,13,88.17195638020833,22.003473213678628,3
HOM,4,14,102.92529296875,0.0,1
HOM,4,17,89.05231584821429,24.953008406098846,7
HOM,4,7,128.70489501953125,48.63443116221298,8
HOM,4,16,81.5074462890625,0.0,1
HOM,4,12,64.99658203125,0.0,1
HOM,4,23,135.328857421875,0.0,1
HOM,4,22,75.5205078125,0.0,1
HOM,4,19,60.54144287109375,0.20452880859375,2
HOM,5,23,66.84283447265625,2.29315185546875,2
HOM,5,22,115.8135986328125,8.4464111328125,2
HOM,5,18,73.9287109375,6.044323614586623,4
HOM,5,11,62.8525390625,0.0,1
HOM,5,13,73.36264038085938,2.9746602272288167,4
HOM,5,21,71.96500651041667,8.153483521080442,3
HOM,5,6,72.24346923828125,7.392106311259922,4
HOM,5,20,82.3393310546875,17.885161816127845,5
HOM,5,10,83.24462890625,3.1611328125,2
HOM,5,19,69.88104248046875,4.56243896484375,2
HOM,5,17,99.69853515625,24.765529670243048,5
HOM,5,15,73.30694580078125,10.02008056640625,2
HOM,5,7,63.7257080078125,0.0,1
HOM,0,10,81.67945692274306,15.644640526428336,9
HOM,0,7,74.68132019042969,9.733484591778492,8
HOM,0,21,85.11250813802083,23.31383622653552,3
HOM,0,15,74.43887329101562,10.020338242501994,4
HOM,0,18,105.71260579427083,36.636327846981615,15
HOM,0,11,73.802734375,10.018502442979496,3
HOM,0,14,76.14801025390625,7.43853759765625,2
HOM,0,16,121.5855712890625,39.71358998150831,3
HOM,0,17,83.78741455078125,9.665672618547944,4
HOM,0,8,79.05020141601562,10.959124088289085,4
HOM,0,19,68.21014404296875,4.97137451171875,2
HOM,0,9,78.97867838541667,12.4714797107832,6
HOM,0,22,133.923828125,0.0,1
YMT,6,17,106.40313720703125,27.15863037109375,2
YMT,6,18,69.06710815429688,3.864171594150051,4
YMT,6,7,75.97021484375,4.5018310546875,2
YMT,6,12,94.0789794921875,10.644265955147551,3
YMT,6,21,65.37503814697266,1.1218643188476562,2
YMT,6,6,63.1094970703125,0.0,1
YMT,6,8,63.772216796875,3.0980224609375,2
YMT,6,20,72.64144897460938,12.467071533203125,2
YMT,6,11,98.42303466796875,25.497082927161287,3
YMT,6,9,72.22802734375,0.0,1
YMT,6,16,100.8067626953125,0.0,1
YMT,6,14,69.0924072265625,0.0,1
YMT,1,7,82.75254128196023,16.650625014525787,11
YMT,1,18,72.13276290893555,8.343288225935904,8
YMT,1,22,110.9413323035607,71.54509013456992,13
YMT,1,12,85.53481674194336,25.60551713237213,12
YMT,1,17,74.40707244873047,12.897196833159759,20
YMT,1,10,92.20108413696289,29.102610939177303,12
YMT,1,9,138.39114990234376,52.90201163103847,10
YMT,1,13,87.25693197811351,19.52886992398293,17
YMT,1,15,76.54761178152901,15.000724780373504,7
YMT,1,8,82.59419759114583,6.695667682021736,3
YMT,1,19,87.22148132324219,26.699296263921187,13
YMT,1,14,90.67990112304688,19.115865544259627,4
YMT,1,11,92.04775390625,23.902039963059927,5
YMT,1,20,84.15370287214007,19.387898800310445,14
YMT,1,16,71.08528645833333,6.8080085071960115,3
YMT,1,23,229.22021484375,145.970947265625,2
YMT,1,21,91.21570301055908,27.538481178707148,16
YMT,1,6,139.01334533691406,66.66035533195435,5
YMT,2,14,71.50986735026042,11.337028951083793,6
YMT,2,15,96.35651352826287,25.95889935998996,17
YMT,2,16,107.7655029296875,42.36673699063117,14
YMT,2,20,94.79379272460938,36.30354190412521,7
YMT,2,6,127.63086954752605,51.154315913259964,9
YMT,2,18,98.86393229166667,27.694769721966413,3
YMT,2,21,124.93019757952008,67.52532128655652,7
YMT,2,17,124.00993347167969,39.773663161316215,10
YMT,2,19,118.14325714111328,47.74337194585913,8
YMT,2,22,77.9464111328125,2.7142333984375,2
YMT,2,8,90.3337646484375,23.667082032590546,5
YMT,2,10,70.667724609375,0.0,1
YMT,3,13,92.70757802327473,37.135124931969806,18
YMT,3,22,126.74412231445312,47.00714051962496,10
YMT,3,12,80.85687425401476,24.745173241514106,9
YMT,3,16,80.07993977864584,12.825335889863496,15
YMT,3,17,77.9256103515625,17.532207366247807,10
YMT,3,18,84.20203018188477,15.769054399989626,14
YMT,3,10,101.78449369731702,42.173012630347365,19
YMT,3,6,117.5535151163737,72.00837064995233,6
YMT,3,19,106.38118670063633,40.91259336457323,31
YMT,3,15,78.91058349609375,14.624507371285954,5
YMT,3,21,83.19686381022136,18.97305110816081,9
YMT,3,14,71.67261505126953,7.300711955161617,6
YMT,3,20,94.45079317959872,28.274712340263818,11
YMT,3,11,80.21018149636008,16.51282242960933,11
YMT,3,23,61.6951904296875,0.0,1
YMT,3,7,81.27752216045673,13.643480261276165,13
YMT,3,9,82.03645324707031,13.649851254927482,14
YMT,3,8,75.38909476143974,13.828355055008617,7
YMT,4,8,90.90189615885417,16.758055308217337,9
YMT,4,10,99.85098063151041,31.278056952994547,15
YMT,4,11,98.49481419154576,37.41601903055856,14
YMT,4,18,84.0546630859375,10.531213582708855,10
YMT,4,15,76.50698852539062,13.362399770665037,6
YMT,4,6,89.5538818359375,33.89112950882945,5
YMT,4,21,103.33611450195312,81.23687232647889,5
YMT,4,9,116.07445853097099,39.626363481837956,7
YMT,4,13,86.43017578125,19.6531982421875,2
YMT,4,14,75.350830078125,0.0,1
YMT,4,16,84.509033203125,4.954696443097141,3
YMT,4,17,78.16748046875,23.241683542333696,8
YMT,4,20,87.3644536336263,13.593668388114569,6
YMT,4,7,132.51021321614584,42.99096746408278,6
YMT,4,19,138.29120635986328,102.80794815160034,3
YMT,4,22,86.33909606933594,16.639103582928602,3
YMT,4,12,67.781982421875,0.0,1
YMT,4,23,123.639892578125,0.0,1
YMT,5,22,77.95391845703125,13.72906494140625,2
YMT,5,8,66.225830078125,4.176857538692407,3
YMT,5,18,70.9749755859375,6.086859436948795,3
YMT,5,13,62.87078857421875,2.00677490234375,2
YMT,5,19,78.8676544189453,7.778409576619822,5
YMT,5,20,78.17331237792969,13.04294378593857,10
YMT,5,7,67.39849853515625,5.91400146484375,2
YMT,5,23,62.9366455078125,0.0,1
YMT,5,17,92.8244873046875,20.82564222549359,5
YMT,5,10,64.703125,0.0,1
YMT,5,15,77.0780029296875,8.765869140625,2
YMT,0,10,89.12886634239784,16.25920936594194,13
YMT,0,17,79.94877243041992,12.215600822762914,8
YMT,0,7,88.42327880859375,15.382658837671226,10
YMT,0,21,98.731201171875,0.0,1
YMT,0,9,84.9680439342152,24.203099760194746,11
YMT,0,18,107.49908447265625,30.99007969503495,12
YMT,0,16,107.47237141927083,34.36552503141966,3
YMT,0,19,96.50916290283203,26.098798449639027,4
YMT,0,14,70.99267578125,0.0,1
YMT,0,11,66.3370361328125,5.0689697265625,2
YMT,0,8,84.10696411132812,10.520611937453861,4
YMT,0,6,89.09060668945312,0.0,1
YMT,0,15,66.72271728515625,3.58380126953125,2
YMT,0,20,81.51402282714844,19.86062525737911,4
YMT,0,22,100.3518295288086,11.368995666503906,2
MOK,6,17,96.40458170572917,32.38773504871697,3
MOK,6,12,67.95501708984375,6.812503638343102,4
MOK,6,20,76.11244201660156,11.928115844726562,2
MOK,6,11,102.6812973022461,19.295426045385916,4
MOK,6,7,69.88348388671875,3.22418212890625,2
MOK,6,6,60.3052978515625,0.0,1
MOK,6,9,73.68701171875,0.0,1
MOK,6,16,106.5791015625,0.0,1
MOK,6,19,63.02642822265625,1.84600830078125,2
MOK,6,18,72.75933837890625,0.24859619140625,2
MOK,1,7,71.55561174665179,9.780272700484929,7
MOK,1,8,79.367919921875,11.8828125,2
MOK,1,10,105.194677734375,49.06833228479948,10
MOK,1,9,156.97858276367188,40.99333782969556,10
MOK,1,11,78.8308837890625,9.454164159551983,5
MOK,1,15,103.66099330357143,13.576897180664165,7
MOK,1,17,69.755615234375,5.074461747739001,5
MOK,1,19,101.35135269165039,20.230779761120825,8
MOK,1,13,103.65225774591619,19.845585837622085,11
MOK,1,14,97.78727213541667,27.84790420516965,9
MOK,1,12,120.0060546875,34.49957682617978,10
MOK,1,20,92.97586398654514,20.86364004183101,9
MOK,1,16,61.5997314453125,0.0,1
MOK,1,18,67.81578572591145,1.4907893543446042,3
MOK,1,23,121.27392578125,80.36454553508467,3
MOK,1,22,144.44852701822916,78.78523081400245,6
MOK,1,21,98.67201741536458,20.035044267714728,6
MOK,1,6,150.6599349975586,68.51380456561867,4
MOK,2,14,84.44903945922852,16.93714983014736,8
MOK,2,15,102.90944925944011,24.86630270981884,18
MOK,2,16,105.99400329589844,36.19966334564248,14
MOK,2,20,97.4417724609375,30.899626535766554,6
MOK,2,6,113.08896706321023,47.369051480740126,11
MOK,2,18,105.22997436523437,37.42250850818392,5
MOK,2,17,122.01178213266226,48.08062999928616,13
MOK,2,19,134.60300827026367,52.396483897398376,8
MOK,2,21,124.54563249860492,72.91926008228755,7
MOK,2,22,75.20831298828125,9.52984619140625,2
MOK,2,11,61.371826171875,0.0,1
MOK,2,8,79.5032958984375,9.2041015625,2
MOK,2,10,61.65234375,0.0,1
MOK,2,7,61.4656982421875,0.0,1
MOK,3,13,122.94033813476562,46.575877251409686,17
MOK,3,22,106.3646741594587,35.98656761315382,14
MOK,3,6,117.38582356770833,65.84458780548631,6
MOK,3,12,88.00158255440849,27.057279255756686,7
MOK,3,16,78.83112127130681,15.492163898837022,11
MOK,3,17,71.19039481026786,12.358342231719446,7
MOK,3,18,85.30732844426082,16.488368680753847,13
MOK,3,10,97.01731872558594,33.998962923516316,14
MOK,3,19,87.118564453125,20.639572170868988,25
MOK,3,11,70.72030639648438,9.279781859562144,16
MOK,3,21,72.03447723388672,9.414422918093509,4
MOK,3,14,68.5232177734375,6.960540282521796,5
MOK,3,20,86.28518295288086,23.26415223142644,16
MOK,3,15,87.28128814697266,10.569273129148876,4
MOK,3,23,74.0235595703125,9.093017578125,2
MOK,3,8,74.7149658203125,9.232028599069634,3
MOK,3,7,75.65277099609375,9.253126875320424,12
MOK,3,9,73.69517869215746,7.284181524710192,13
MOK,4,8,79.93051486545139,11.880366251549379,9
MOK,4,10,92.62052612304687,27.527875119679713,15
MOK,4,15,76.23370971679688,10.023238513793249,5
MOK,4,9,104.39701334635417,25.3855048893875,6
MOK,4,11,101.0738525390625,36.47672561978025,10
MOK,4,18,78.93813254616477,8.017461681704065,11
MOK,4,21,66.54016985212054,4.722829650362488,7
MOK,4,6,111.17472330729167,28.863529137200445,3
MOK,4,20,78.48803274972099,19.232671245287566,7
MOK,4,13,84.453369140625,18.610107421875,2
MOK,4,16,72.5487060546875,7.5140380859375,2
MOK,4,17,87.95169067382812,22.007044034197875,4
MOK,4,7,105.98334394182477,30.708154027551288,7
MOK,4,22,92.80220794677734,18.36417198249051,4
MOK,4,19,178.695556640625,111.7850341796875,2
MOK,4,23,144.0386962890625,0.0,1
MOK,5,22,78.312744140625,10.3389892578125,2
MOK,5,18,72.10064697265625,9.362800398603573,4
MOK,5,10,66.61771647135417,2.7792790003440273,3
MOK,5,13,64.88165283203125,4.82098388671875,2
MOK,5,19,82.87818400065105,11.35383818344274,3
MOK,5,20,80.13836330837674,16.191270793248258,9
MOK,5,7,74.54443359375,0.0,1
MOK,5,17,101.71295166015625,12.523348033220168,4
MOK,5,14,67.8194580078125,0.0,1
MOK,5,21,68.427734375,0.0,1
MOK,5,11,61.5333251953125,0.0,1
MOK,0,10,77.88624064127605,8.51132405579603,9
MOK,0,11,71.081298828125,4.029691488543328,3
MOK,0,21,97.0972900390625,0.0,1
MOK,0,9,90.05751342773438,21.93605751298498,5
MOK,0,18,94.71185302734375,18.03538313393079,10
MOK,0,7,72.92759704589844,8.926074399127819,8
MOK,0,16,112.22819010416667,49.09691472644801,3
MOK,0,19,99.09705200195313,24.45809066747308,5
MOK,0,14,63.8043212890625,2.871826171875,2
